,username,date_t,text_t,favorites,hashtags,retweets,replies,author_id
418,fnatalia721,2019-04-21 23:18:15+00:00,"Army como ya saben que para poder votar en #BBMAs nuestra cuenta debe tener mas de 100 seguidores, por eso nos vamos a seguir mutuamente. Sigueme y te sigo. Cumplo #ArmyfolllowArmy #BoyWithLuv #BTS #방탄소년단 ",0,#BBMAs #BBMAs #ArmyfolllowArmy #BoyWithLuv #BTS #BTS,1,0,812117948705939457
419,BreadGenie19,2019-04-21 23:18:13+00:00,GodJin #Dionysus #BTS #방탄소년단 #PersonaBillboardNo1,1,#Dionysus #BTS #BTS #PersonaBillboardNo1,0,0,1049002682101497858
420,cutiepj95,2019-04-21 23:18:09+00:00,¿Algún día lo tendré así de cerca? Esta es la pregunta que siempre me hago .. Afortunados todos esos ARMYs que han tenido a este Ángel así de cerca #BTS #방탄소년단 #BTSARMY #JIMIN #박지민 #지민 @BTS_twt,80,#BTS #BTS #BTSARMY #BTSARMY #JIMIN,32,0,987466287344439296
421,mopsijin,2019-04-21 23:18:07+00:00,#PersonaBillboardNo1 축하해요 방탄소년단 온전히 기쁜하루였으면!,2,#PersonaBillboardNo1,2,0,841980279778549760
422,armymots,2019-04-21 23:17:58+00:00,Trending #11 in Finland. @BTS_twt (방탄소년단) - #BoyWithLuv(작은 것들을 위한 시) @인기가요 Inkigayo 20190421 https://youtu.be/M3C5tmt08nI,0,#BoyWithLuv,0,0,3460042162
423,Vngan1230,2019-04-21 23:17:55+00:00,"Uwu baby ah , good morning , have a good day , we love u 방탄소년단 뷔 Purple u #방탄소년단뷔 #뷔 #김태형 #BTSV #V #Taehyung #GoodMorningTaehyung",0,#BTSV #V #Taehyung #GoodMorningTaehyung,1,0,1056859655647899648
424,eyesgukk,2019-04-21 23:17:53+00:00,"Bangtan se convierte en el primer grupo desde ""The Beatles"" en tener tres álbumes #1 en el Billboard 200 en menos de un año @BTS_twt #방탄소년단 #PersonaBillboardNo1",9,#PersonaBillboardNo1,1,0,1043298183995113472
425,nzl829,2019-04-21 23:17:35+00:00,morning cuddle for our baby boy #BTSV #뷔 #방탄소년단 @BTS_twt #GoodMorningTaehyung,0,#BTSV #GoodMorningTaehyung,0,0,939015305635835905
426,LOVE__PACKAGE,2019-04-21 23:17:30+00:00,1996년 비틀즈의 뒤를 이어서 21세기 처음으로 1년 안에 빌보드 핫200 차트 3번 1위한 그룹에 @BTS_twt 방탄소년단이 기록 등극••• ,4,,0,0,911931137575886848
427,_thanks_l3TS___,2019-04-21 23:17:24+00:00,빅히트 역시 일 못하는 건 알아줘야 해..,0,,0,0,1058713317953306624
